"","coords.lon","coords.lat","areas","areas.sum.areas."
"1115",-61.75,-5.25,3077.11480048181,0.0005176374357877
"1116",-61.25,-5.25,3077.11480048181,0.0005176374357877
"1117",-60.75,-5.25,3077.11480048181,0.0005176374357877
"1118",-60.25,-5.25,3077.11480048181,0.0005176374357877
"1119",-59.75,-5.25,3077.11480048181,0.0005176374357877
"1120",-59.25,-5.25,3077.11480048181,0.0005176374357877
"1121",-58.75,-5.25,3077.11480048181,0.0005176374357877
"1122",-58.25,-5.25,3077.11480048181,0.0005176374357877
"1123",-57.75,-5.25,3077.11480048181,0.0005176374357877
"1124",-57.25,-5.25,3077.11480048181,0.0005176374357877
"1125",-56.75,-5.25,3077.11480048181,0.0005176374357877
"1126",-56.25,-5.25,3077.11480048181,0.0005176374357877
"1127",-55.75,-5.25,3077.11480048181,0.0005176374357877
"1128",-55.25,-5.25,3077.11480048181,0.0005176374357877
"1129",-54.75,-5.25,3077.11480048181,0.0005176374357877
"1130",-54.25,-5.25,3077.11480048181,0.0005176374357877
"1131",-53.75,-5.25,3077.11480048181,0.0005176374357877
"1132",-53.25,-5.25,3077.11480048181,0.0005176374357877
"1133",-52.75,-5.25,3077.11480048181,0.0005176374357877
"1134",-52.25,-5.25,3077.11480048181,0.0005176374357877
"1135",-51.75,-5.25,3077.11480048181,0.0005176374357877
"1136",-51.25,-5.25,3077.11480048181,0.0005176374357877
"1137",-79.25,-4.75,3079.46509547398,0.000518032806370852
"1138",-78.75,-4.75,3079.46509547398,0.000518032806370852
"1139",-78.25,-4.75,3079.46509547398,0.000518032806370852
"1140",-77.75,-4.75,3079.46509547398,0.000518032806370852
"1141",-77.25,-4.75,3079.46509547398,0.000518032806370852
"1142",-76.75,-4.75,3079.46509547398,0.000518032806370852
"1143",-76.25,-4.75,3079.46509547398,0.000518032806370852
"1144",-75.75,-4.75,3079.46509547398,0.000518032806370852
"1145",-75.25,-4.75,3079.46509547398,0.000518032806370852
"1146",-74.75,-4.75,3079.46509547398,0.000518032806370852
"1147",-74.25,-4.75,3079.46509547398,0.000518032806370852
"1148",-73.75,-4.75,3079.46509547398,0.000518032806370852
"1149",-73.25,-4.75,3079.46509547398,0.000518032806370852
"1150",-72.75,-4.75,3079.46509547398,0.000518032806370852
"1151",-72.25,-4.75,3079.46509547398,0.000518032806370852
"1152",-71.75,-4.75,3079.46509547398,0.000518032806370852
"1153",-71.25,-4.75,3079.46509547398,0.000518032806370852
"1154",-70.75,-4.75,3079.46509547398,0.000518032806370852
"1155",-70.25,-4.75,3079.46509547398,0.000518032806370852
"1156",-69.75,-4.75,3079.46509547398,0.000518032806370852
"1157",-69.25,-4.75,3079.46509547398,0.000518032806370852
"1158",-68.75,-4.75,3079.46509547398,0.000518032806370852
"1159",-68.25,-4.75,3079.46509547398,0.000518032806370852
"1160",-67.75,-4.75,3079.46509547398,0.000518032806370852
"1161",-67.25,-4.75,3079.46509547398,0.000518032806370852
"1162",-66.75,-4.75,3079.46509547398,0.000518032806370852
"1163",-66.25,-4.75,3079.46509547398,0.000518032806370852
"1164",-65.75,-4.75,3079.46509547398,0.000518032806370852
"1165",-65.25,-4.75,3079.46509547398,0.000518032806370852
"1166",-64.75,-4.75,3079.46509547398,0.000518032806370852
"1167",-64.25,-4.75,3079.46509547398,0.000518032806370852
"1168",-63.75,-4.75,3079.46509547398,0.000518032806370852
"1169",-63.25,-4.75,3079.46509547398,0.000518032806370852
"1170",-62.75,-4.75,3079.46509547398,0.000518032806370852
"1171",-62.25,-4.75,3079.46509547398,0.000518032806370852
"1172",-61.75,-4.75,3079.46509547398,0.000518032806370852
"1173",-61.25,-4.75,3079.46509547398,0.000518032806370852
"1174",-60.75,-4.75,3079.46509547398,0.000518032806370852
"1175",-60.25,-4.75,3079.46509547398,0.000518032806370852
"1176",-59.75,-4.75,3079.46509547398,0.000518032806370852
"1177",-59.25,-4.75,3079.46509547398,0.000518032806370852
"1178",-58.75,-4.75,3079.46509547398,0.000518032806370852
"1179",-58.25,-4.75,3079.46509547398,0.000518032806370852
"1180",-57.75,-4.75,3079.46509547398,0.000518032806370852
"1181",-57.25,-4.75,3079.46509547398,0.000518032806370852
"1182",-56.75,-4.75,3079.46509547398,0.000518032806370852
"1183",-56.25,-4.75,3079.46509547398,0.000518032806370852
"1184",-55.75,-4.75,3079.46509547398,0.000518032806370852
"1185",-55.25,-4.75,3079.46509547398,0.000518032806370852
"1186",-54.75,-4.75,3079.46509547398,0.000518032806370852
"1187",-54.25,-4.75,3079.46509547398,0.000518032806370852
"1188",-53.75,-4.75,3079.46509547398,0.000518032806370852
"1189",-53.25,-4.75,3079.46509547398,0.000518032806370852
"1190",-52.75,-4.75,3079.46509547398,0.000518032806370852
"1191",-52.25,-4.75,3079.46509547398,0.000518032806370852
"1192",-51.75,-4.75,3079.46509547398,0.000518032806370852
"1193",-51.25,-4.75,3079.46509547398,0.000518032806370852
"1194",-50.75,-4.75,3079.46509547398,0.000518032806370852
"1195",-78.75,-4.25,3081.58087149057,0.000518388725776834
"1196",-78.25,-4.25,3081.58087149057,0.000518388725776834
"1197",-77.75,-4.25,3081.58087149057,0.000518388725776834
"1198",-77.25,-4.25,3081.58087149057,0.000518388725776834
"1199",-76.75,-4.25,3081.58087149057,0.000518388725776834
"1200",-76.25,-4.25,3081.58087149057,0.000518388725776834
"1201",-75.75,-4.25,3081.58087149057,0.000518388725776834
"1202",-75.25,-4.25,3081.58087149057,0.000518388725776834
"1203",-74.75,-4.25,3081.58087149057,0.000518388725776834
"1204",-74.25,-4.25,3081.58087149057,0.000518388725776834
"1205",-73.75,-4.25,3081.58087149057,0.000518388725776834
"1206",-73.25,-4.25,3081.58087149057,0.000518388725776834
"1207",-72.75,-4.25,3081.58087149057,0.000518388725776834
"1208",-72.25,-4.25,3081.58087149057,0.000518388725776834
"1209",-71.75,-4.25,3081.58087149057,0.000518388725776834
"1210",-71.25,-4.25,3081.58087149057,0.000518388725776834
"1211",-70.75,-4.25,3081.58087149057,0.000518388725776834
"1212",-70.25,-4.25,3081.58087149057,0.000518388725776834
"1213",-69.75,-4.25,3081.58087149057,0.000518388725776834
"1214",-69.25,-4.25,3081.58087149057,0.000518388725776834
"1215",-68.75,-4.25,3081.58087149057,0.000518388725776834
"1216",-68.25,-4.25,3081.58087149057,0.000518388725776834
"1217",-67.75,-4.25,3081.58087149057,0.000518388725776834
"1218",-67.25,-4.25,3081.58087149057,0.000518388725776834
"1219",-66.75,-4.25,3081.58087149057,0.000518388725776834
"1220",-66.25,-4.25,3081.58087149057,0.000518388725776834
"1221",-65.75,-4.25,3081.58087149057,0.000518388725776834
"1222",-65.25,-4.25,3081.58087149057,0.000518388725776834
"1223",-64.75,-4.25,3081.58087149057,0.000518388725776834
"1224",-64.25,-4.25,3081.58087149057,0.000518388725776834
"1225",-63.75,-4.25,3081.58087149057,0.000518388725776834
"1226",-63.25,-4.25,3081.58087149057,0.000518388725776834
"1227",-62.75,-4.25,3081.58087149057,0.000518388725776834
